20.2	109
12	184
13	209
16.4	268
12	341
13	408
20.4	467
12	537
13	583
26.4	642
12	709
13	757
125.6	816
12	881
13	931
10.2	990
12	1053
13	1096
10.4	1155
12	1219
13	1252
112.8	1311
12	1376
13	1420
212.8	1479
12	1541
13	1593
225.6	1651
12	1713
13	1757
20.2	1816
12	1878
13	1925
10.2	1984
12	2046
13	2083
20.4	2142
12	2203
13	2242
112.8	2301
12	2365
13	2405
212.8	2464
12	2525
13	2561
125.6	2620
12	2682
13	2717
26.4	2776
12	2837
13	2890
16.4	2949
12	3011
13	3053
225.6	3112
12	3174
13	3209
10.4	3268
12	3329
13	3364
10.4	3423
12	3485
13	3528
225.6	3587
12	3652
13	3698
26.4	3757
12	3818
13	3864
212.8	3923
12	3984
13	4042
10.2	4101
12	4163
13	4203
125.6	4262
12	4324
13	4370
20.4	4429
12	4497
13	4539
20.2	4598
12	4663
13	4709
16.4	4768
12	4830
13	4878
112.8	4937
12	4999
13	5056
10.4	5115
12	5177
13	5228
225.6	5287
12	5349
13	5400
112.8	5459
12	5523
13	5571
125.6	5630
12	5694
13	5745
16.4	5804
12	5869
13	5937
26.4	5996
12	6058
13	6107
20.4	6166
12	6229
13	6266
10.2	6325
12	6397
13	6431
20.2	6490
12	6556
13	6592
212.8	6651
12	6715
13	6765
125.6	6824
12	6888
13	6939
10.4	6998
12	7063
13	7103
10.2	7162
12	7227
13	7259
20.4	7317
12	7382
13	7424
20.2	7483
12	7547
13	7598
26.4	7656
12	7721
13	7755
212.8	7814
12	7875
13	7925
225.6	7984
12	8049
13	8103
16.4	8162
12	8223
13	8270
112.8	8329
12	8392
13	8449
125.6	8508
12	8573
13	8636
112.8	8695
12	8759
13	8802
225.6	8861
12	8925
13	8968
10.2	9027
12	9091
13	9126
26.4	9185
12	9248
13	9294
20.2	9353
12	9416
13	9461
212.8	9520
12	9583
13	9632
16.4	9691
12	9756
13	9804
10.4	9863
12	9927
13	9973
20.4	10032
12	10096
13	10132
