20.2	25
12	94
13	153
16.4	212
12	281
13	331
20.4	390
12	456
13	500
26.4	559
12	626
13	676
125.6	735
12	801
13	857
10.2	915
12	982
13	1025
10.4	1084
12	1149
13	1200
112.8	1258
12	1324
13	1382
212.8	1441
12	1507
13	1565
225.6	1624
12	1690
13	1746
20.2	1805
12	1872
13	1925
10.2	1983
12	2049
13	2099
20.4	2157
12	2224
13	2278
112.8	2337
12	2403
13	2460
212.8	2519
12	2586
13	2645
125.6	2704
12	2771
13	2829
26.4	2888
12	2953
13	2994
16.4	3053
12	3120
13	3173
225.6	3232
12	3298
13	3359
10.4	3417
12	3484
13	3536
10.4	3595
12	3660
13	3713
225.6	3772
12	3836
13	3895
26.4	3954
12	4022
13	4076
212.8	4135
12	4201
13	4254
10.2	4312
12	4383
13	4425
125.6	4484
12	4549
13	4610
20.4	4668
12	4736
13	4791
20.2	4850
12	4916
13	4959
16.4	5018
12	5083
13	5134
112.8	5193
12	5260
13	5315
10.4	5374
12	5440
13	5483
225.6	5542
12	5610
13	5670
112.8	5729
12	5796
13	5853
125.6	5911
12	5978
13	6041
16.4	6100
12	6167
13	6215
26.4	6274
12	6340
13	6389
20.4	6448
12	6517
13	6569
10.2	6627
12	6694
13	6748
20.2	6807
12	6872
13	6915
212.8	6974
12	7039
13	7090
125.6	7149
12	7215
13	7266
10.4	7325
12	7391
13	7434
10.2	7493
12	7561
13	7607
20.4	7666
12	7733
13	7787
20.2	7846
12	7911
13	7957
26.4	8016
12	8081
13	8130
212.8	8189
12	8254
13	8306
225.6	8365
12	8430
13	8493
16.4	8552
12	8617
13	8670
112.8	8729
12	8794
13	8855
125.6	8914
12	8980
13	9035
112.8	9094
12	9160
13	9214
225.6	9273
12	9338
13	9405
10.2	9464
12	9529
13	9567
26.4	9626
12	9690
13	9736
20.2	9795
12	9861
13	9916
212.8	9975
12	10040
13	10108
16.4	10167
12	10233
13	10292
10.4	10351
12	10419
13	10453
20.4	10512
12	10578
13	10632
