20.2	159
12	230
13	284
16.4	343
12	413
13	471
20.4	530
12	601
13	663
26.4	722
12	806
13	866
125.6	925
12	1005
13	1060
10.2	1119
12	1186
13	1236
10.4	1295
12	1364
13	1413
112.8	1471
12	1538
13	1598
212.8	1657
12	1733
13	1789
225.6	1848
12	1923
13	1984
20.2	2043
12	2115
13	2170
10.2	2229
12	2302
13	2366
20.4	2425
12	2500
13	2544
112.8	2603
12	2674
13	2732
212.8	2791
12	2858
13	2914
125.6	2973
12	3047
13	3090
26.4	3149
12	3219
13	3268
16.4	3327
12	3395
13	3458
225.6	3517
12	3597
13	3659
10.4	3718
12	3785
13	3845
10.4	3903
12	3972
13	4027
225.6	4086
12	4174
13	4241
26.4	4300
12	4367
13	4411
212.8	4470
12	4538
13	4594
10.2	4652
12	4719
13	4781
125.6	4840
12	4908
13	4970
20.4	5028
12	5097
13	5156
20.2	5215
12	5285
13	5350
16.4	5409
12	5478
13	5530
112.8	5588
12	5661
13	5722
10.4	5781
12	5847
13	5909
225.6	5967
12	6054
13	6127
112.8	6186
12	6252
13	6253
125.6	6312
12	6388
13	6451
16.4	6510
12	6579
13	6633
26.4	6692
12	6761
13	6815
20.4	6874
12	6940
13	6997
10.2	7055
12	7118
13	7172
20.2	7231
12	7295
13	7349
212.8	7408
12	7470
13	7525
125.6	7583
12	7651
13	7713
10.4	7772
12	7839
13	7893
10.2	7952
12	8020
13	8077
20.4	8136
12	8200
13	8260
20.2	8319
12	8385
13	8440
26.4	8499
12	8568
13	8615
212.8	8673
12	8738
13	8793
225.6	8852
12	8920
13	8983
16.4	9042
12	9111
13	9161
112.8	9220
12	9287
13	9348
125.6	9406
12	9477
13	9537
112.8	9595
12	9661
13	9721
225.6	9780
12	9852
13	9912
10.2	9971
12	10039
13	10103
26.4	10162
12	10228
13	10271
20.2	10330
12	10397
13	10462
212.8	10521
12	10584
13	10639
16.4	10698
12	10762
13	10814
10.4	10873
12	10939
13	11004
20.4	11063
12	11131
13	11192
